author,birth_date,birth_place,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Scott McEwen,,,,,,,FALSE,
Jim DeFelice,,,,,,,FALSE,
Marco Rubio,,,,,,,FALSE,
Scott Snyder,,,,,,,TRUE,
Rafael Albuquereque,,,,,,,FALSE,
Rafael Alburqurqe,,,,,,,FALSE,
Rafael Albuquerque,,,,,,,FALSE,
Curtis Sittenfeld,23/08/1975,,,Fiction,,,TRUE,
Chimamanda Ngozi Adichie,15/09/1977,,,,,,TRUE,
Mark R Levin,,,,,,,FALSE,
Lebanon Levi Stoltzfus,,,,,,,FALSE,
Julia Pierpont,,,,,,,FALSE,
Kazu Kibuishi,,,,,,,FALSE,
Hank Green,,,,,,,TRUE,
John Green,1885-03-02,,27/05/1949,,,,TRUE,
Tayari Jones,30/11/1970,,,,,,TRUE,
Greer Hendricks,,,,,,,FALSE,
Sarah Pekkanen,,,,,,,FALSE,
Chris Hadfield,29/08/1959,,,,,,TRUE,
Margaret Rogerson,,,,,,,FALSE,
Laura L Schroff,,,,,,,FALSE,
Patrick Taylor,,,,,,,TRUE,
Sherryl Woods,23/07/1944,US,,Mystery_novel; Romantic_novel,,,TRUE,
Steve Martin,,,,,,,TRUE,
Robert Harris,13/06/1969,,,,,,TRUE,
Neal Stephenson,31/10/1959,,,Essays; Historical_fiction; Speculative_fiction,,,TRUE,
Eoin Colfer,14/05/1965,,,Adventure_novel; Children's_literature; Science_fiction,,,TRUE,
Kiersten White,,,,,,,TRUE,
Marie Force,,,,,,,FALSE,
Dana Perino,09/05/1972,,,,,,TRUE,
Richard Engel,16/09/1973,,,,,,TRUE,
Brian Kilmeade,07/05/1964,,,,,,TRUE,
Claudia Kalb,,,,,,,FALSE,
Margaret Atwood,,,,,,,FALSE,
Johnnie Christmas,,,,,,,FALSE,
Kristin Hannah,25/09/1960,,,,,,TRUE,
Anne Rice,04/10/1941,,11/12/2021,Christian_novel; Erotic_literature; Gothic_fiction; Horror_fiction,,,TRUE,
Frank McCourt,09/12/1925,,01/06/2006,,,,TRUE,
Andrew Morton,,,,,,,TRUE,
Danielle Trussoni,,,,,,,FALSE,
Michael Connelly,1887-04-29,,30/10/1970,,,,TRUE,
Jeff Lemire,,,,,,,FALSE,
Travel Foreman,,,,,,,FALSE,
Virginia Morell,,,,,,,FALSE,
Ker Rosanes,,,,,,,FALSE,
Gavriel Savit,,,,,,,FALSE,
Francine Prose,01/04/1947,,,,,,TRUE,
L M Elliott,,,,,,,FALSE,
Jacqueline Woodson,12/02/1963,,,Young_adult_fiction,,,TRUE,
David Levithan,07/09/1972,,,Fantasy; Supernatural_fiction; Young_adult_fiction,,,TRUE,
Jane Green,,,,,,,TRUE,
Michael DeForge,,,,,,,FALSE,
Tijan,,,,,,,FALSE,
Nassim Nicholas Taleb,12/09/1960,,,,,,TRUE,
Antoni Porowski,14/03/1984,,,,,,TRUE,
Mindy Fox,,,,,,,FALSE,
Caleb Krisp,,,,,,,FALSE,
Elizabeth Strout,06/01/1956,,,Literary_fiction,,,TRUE,
Maxwell Ryan,,,,,,,FALSE,
Janel Laban,,,,,,,FALSE,
Sara Gruen,,,,,,,TRUE,
George O'Connor,1892-03-28,,23/09/1921,,,,TRUE,
Anthony Bourdain,25/06/1956,,08/06/2018,,,,TRUE,
Laurie Woolever,,,,,,,FALSE,
Joanne Fluke,,,,,,,FALSE,
J D Robb,,,,,,,FALSE,
Victoria Kann,,,,,,,FALSE,
Geoff Johns,,,,,,,TRUE,
Ivan Reis,,,,,,,FALSE,
