title,author,rank,description,publisher,amazon_product_url
WOLF HALL,Hilary Mantel,10,Thomas More and Thomas Cromwell clash in the turbulent court of Henry VIII.,Holt,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,11,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,12,"A re-creation of the life of the author’s grandmother in the Southwest, by the author of “The Glass Castle.”",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
ANGEL TIME,Anne Rice,13,"
A contract killer goes back to 13th-century England in search of redemption.",Knopf,http://www.amazon.com/Angel-Time-Songs-Seraphim-Book-ebook/dp/B002PMVY38?tag=NYTBS-20
SOUTHERN LIGHTS,Danielle Steel,14,"When a New York prosecutor’s daughter is threatened, she sends her back to the Charleston world she herself fled.",Delacorte,http://www.amazon.com/Southern-Lights-Random-House-Large/dp/0739328662?tag=NYTBS-20
A TOUCH OF DEAD,Charlaine Harris,15,The complete Sookie Stackhouse stories.,Ace,http://www.amazon.com/Touch-Dead-Sookie-Stackhouse-Complete/dp/0441017835?tag=NYTBS-20
TO TRY MEN'S SOULS,"Newt Gingrich, William R Forstchen and Albert S Hanser",16,The darkest days of the American Revolution.,Thomas Dunne/St. Martin’s,http://www.amazon.com/To-Try-Mens-Souls-Washington/dp/0312591063?tag=NYTBS-20
HEAT WAVE,Richard Castle,17,A journalist tags along with Detective Nikki Heat as she investigates the death of a New York real estate tycoon.,Hyperion,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20
AN ECHO IN THE BONE,Diana Gabaldon,18,"Jamie Fraser and his time-traveling wife, Claire, encounter pirates on the high seas; the seventh Outlander novel.",Delacorte,http://www.amazon.com/An-Echo-Bone-Novel-Outlander/dp/0440245680?tag=NYTBS-20
BLOOD GAME,Iris Johansen,19,The forensic sculptor Eve Duncan struggles against a serial killer.,St. Martin’s,http://www.amazon.com/Blood-Game-Forensics-Thriller-Thrillers/dp/0312368127?tag=NYTBS-20
THE PROFESSIONAL,Robert B Parker,20,"Rich women are turning up dead, and the Boston P.I. Spenser investigates.",Putnam,http://www.amazon.com/The-Professional-Robert-B-Parker/dp/0399155945?tag=NYTBS-20
FORD COUNTY,John Grisham,1,Stories set in rural Mississippi.,Doubleday,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,2,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
KINDRED IN DEATH,J D Robb,3,"Lt. Eve Dallas investigates the brutal murder of a colleague’s daughter; by Nora Roberts, writing pseudonymously.",Putnam,http://www.amazon.com/Kindred-Death-J-D-Robb/dp/0399155953?tag=NYTBS-20
THE GATHERING STORM,Robert Jordan and Brandon Sanderson,4,Book 12 of the Wheel of Time fantasy series.,Tor/Tom Doherty,http://www.amazon.com/Gathering-Storm-Wheel-Time-Book/dp/0765302306?tag=NYTBS-20
THE LACUNA,Barbara Kingsolver,5,"A young American growing up in Mexico becomes friends with Diego Rivera, Frieda Kahlo and Leon Trotsky; later, in the United States, he is menaced by ­McCarthyism.",Harper/HarperCollins,http://www.amazon.com/The-Lacuna-A-Novel-P-S/dp/0060852585?tag=NYTBS-20
TRUE BLUE,David Baldacci,6,"

An ex-cop in Washington struggles to clear her name.",Grand Central,http://www.amazon.com/True-Blue-David-Baldacci-ebook/dp/B002SRL3PO?tag=NYTBS-20
THE HELP,Kathryn Stockett,7,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,8,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
THE SCARPETTA FACTOR,Patricia Cornwell,9,Apparent threats on Kay Scarpetta’s life make her hesitate when a TV producer wants her to star in a show.,Putnam,http://www.amazon.com/The-Scarpetta-Factor-Novel/dp/B003UHUBDG?tag=NYTBS-20
LAST NIGHT IN TWISTED RIVER,John Irving,10,"

A loggers’ cook and his son are on the run from the law, for decades.",Random House,http://www.amazon.com/Last-Night-Twisted-River-Novel/dp/1400063841?tag=NYTBS-20
NO LESS THAN VICTORY,Jeff Shaara,11,"The final volume of a trilogy of novels about World War II focuses on the final years of the war, including the Battle of the Bulge and the American sweep through Germany.",Ballantine,http://www.amazon.com/No-Less-Than-Victory-Novel/dp/0345497937?tag=NYTBS-20
NINE DRAGONS,Michael Connelly,12,The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.,"Little, Brown",http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20
WOLF HALL,Hilary Mantel,13,Thomas More and Thomas Cromwell clash in the turbulent court of Henry VIII.,Holt,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,14,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
HEAT WAVE,Richard Castle,15,An N.Y.P.D. homicide detective investigates the death of a real estate tycoon and flirts with a magazine journalist.,Hyperion,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,16,"A re-creation of the life of the author’s grandmother — a mustang breaker, schoolteacher, ranch wife and mother of two — in the Southwest.",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
RAINWATER,Sandra Brown,17,A woman runs a Depression-era Texas boarding house while caring for her misunderstood 10-year-old son.,Simon & Schuster,http://www.amazon.com/Rainwater-Sandra-Brown/dp/1439192928?tag=NYTBS-20
SOUTHERN LIGHTS,Danielle Steel,18,"When a New York prosecutor’s daughter is threatened, she sends her back to the Charleston world she herself fled.",Delacorte,http://www.amazon.com/Southern-Lights-Random-House-Large/dp/0739328662?tag=NYTBS-20
A TOUCH OF DEAD,Charlaine Harris,19,The complete Sookie Stackhouse stories.,Ace,http://www.amazon.com/Touch-Dead-Sookie-Stackhouse-Complete/dp/0441017835?tag=NYTBS-20
KNIT THE SEASON,Kate Jacobs,20,The members of the Friday Night Knitting Club prepare for the holidays and a New Year’s Day wedding.,Putnam,http://www.amazon.com/Knit-Season-Friday-Night-Knitting/dp/0425236765?tag=NYTBS-20
"UNDER THE DOME, PART 1",Stephen King,1,"When a Maine town is trapped by an invisible force field, a sanctimonious and hypocritical politician takes over.",Scribner,http://www.amazon.com/Under-Dome-Novel-Stephen-King/dp/1476767270?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,2,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
FORD COUNTY,John Grisham,3,Stories set in rural Mississippi.,Doubleday,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20
THE HELP,Kathryn Stockett,4,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
THE LACUNA,Barbara Kingsolver,5,"A young American growing up in Mexico becomes friends with artists and radicals; later, in the United States, he is menaced by ­McCarthyism.",Harper/HarperCollins,http://www.amazon.com/The-Lacuna-A-Novel-P-S/dp/0060852585?tag=NYTBS-20
THE GATHERING STORM,Robert Jordan and Brandon Sanderson,6,Book 12 of the Wheel of Time fantasy series.,Tor/Tom Doherty,http://www.amazon.com/Gathering-Storm-Wheel-Time-Book/dp/0765302306?tag=NYTBS-20
TRUE BLUE,David Baldacci,7,"

An ex-cop in Washington struggles to clear her name.",Grand Central,http://www.amazon.com/True-Blue-David-Baldacci-ebook/dp/B002SRL3PO?tag=NYTBS-20
ICE,Linda Howard,8,A brutal ice storm traps a young soldier on leave who has just rescued a woman.,Ballantine,http://www.amazon.com/Ice-A-Novel-Linda-Howard/dp/0345517202?tag=NYTBS-20
KINDRED IN DEATH,J D Robb,9,"Lt. Eve Dallas investigates the brutal murder of a colleague’s daughter; by Nora Roberts, writing pseudonymously.",Putnam,http://www.amazon.com/Kindred-Death-J-D-Robb/dp/0399155953?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,10,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
HEAT WAVE,Richard Castle,11,An N.Y.P.D. homicide detective investigates the death of a real estate tycoon and flirts with a magazine journalist.,Hyperion,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20
THE SCARPETTA FACTOR,Patricia Cornwell,12,Apparent threats on Kay Scarpetta’s life make her hesitate when a TV producer wants her to star in a show.,Putnam,http://www.amazon.com/The-Scarpetta-Factor-Novel/dp/B003UHUBDG?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,13,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
NEW YORK,Edward Rutherfurd,14,"Characters real and imaginary in the Big Apple, from Dutch colonial days to 2001.",Doubleday,http://www.amazon.com/New-York-Novel-Edward-Rutherfurd/dp/0345497422?tag=NYTBS-20
NINE DRAGONS,Michael Connelly,15,The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.,"Little, Brown",http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,16,"A re-creation of the life of the author’s grandmother in the Southwest, by the author of “The Glass Castle.”",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
WOLF HALL,Hilary Mantel,17,Thomas More and Thomas Cromwell clash in the court of Henry VIII; winner of the 2009 Man Booker Prize.,Holt,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20
NO LESS THAN VICTORY,Jeff Shaara,18,"The final volume of a trilogy of novels about World War II focuses on the final years of the war, including the Battle of the Bulge and the American sweep through Germany.",Ballantine,http://www.amazon.com/No-Less-Than-Victory-Novel/dp/0345497937?tag=NYTBS-20
LAST NIGHT IN TWISTED RIVER,John Irving,19,"

A loggers’ cook and his son are on the run from the law, for decades.",Random House,http://www.amazon.com/Last-Night-Twisted-River-Novel/dp/1400063841?tag=NYTBS-20
WISHIN' AND HOPIN',Wally Lamb,20,A fifth-grader in 1964 gets ready for Christmas.,Harper/HarperCollins,http://www.amazon.com/Wishin-Hopin-Novel-Wally-Lamb/dp/0061941018?tag=NYTBS-20
CROSS FIRE,James Patterson,1,"Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets.","Little, Brown",http://www.amazon.com/I-Alex-Cross-James-Patterson-ebook/dp/B002LZSY46?tag=NYTBS-20
"UNDER THE DOME, PART 1",Stephen King,2,"When a Maine town is trapped by an invisible force field, a sanctimonious and hypocritical politician takes over.",Scribner,http://www.amazon.com/Under-Dome-Novel-Stephen-King/dp/1476767270?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,3,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
FORD COUNTY,John Grisham,4,Stories set in rural Mississippi.,Doubleday,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20
THE HELP,Kathryn Stockett,5,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
THE WRECKER,Clive Cussler and Justin Scott,6,"In 1907, a detective tracks a mysterious saboteur all over the West.",Putnam,http://www.amazon.com/The-Wrecker-Isaac-Bell-Adventure/dp/0399155996?tag=NYTBS-20
TRUE BLUE,David Baldacci,7,"

An ex-cop in Washington struggles to clear her name.",Grand Central,http://www.amazon.com/True-Blue-David-Baldacci-ebook/dp/B002SRL3PO?tag=NYTBS-20
THE LACUNA,Barbara Kingsolver,8,"A young American growing up in Mexico becomes friends with artists and radicals; later, in the United States, he is menaced by ­McCarthyism.",Harper/HarperCollins,http://www.amazon.com/The-Lacuna-A-Novel-P-S/dp/0060852585?tag=NYTBS-20
THE GATHERING STORM,Robert Jordan and Brandon Sanderson,9,Book 12 of the Wheel of Time fantasy series.,Tor/Tom Doherty,http://www.amazon.com/Gathering-Storm-Wheel-Time-Book/dp/0765302306?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,10,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
THE SCARPETTA FACTOR,Patricia Cornwell,11,Apparent threats on Kay Scarpetta’s life make her hesitate when a TV producer wants her to star in a show.,Putnam,http://www.amazon.com/The-Scarpetta-Factor-Novel/dp/B003UHUBDG?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,12,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
KINDRED IN DEATH,J D Robb,13,"Lt. Eve Dallas investigates the brutal murder of a colleague’s daughter; by Nora Roberts, writing pseudonymously.",Putnam,http://www.amazon.com/Kindred-Death-J-D-Robb/dp/0399155953?tag=NYTBS-20
HEAT WAVE,Richard Castle,14,An N.Y.P.D. homicide detective investigates the death of a real estate tycoon and flirts with a magazine journalist.,Hyperion,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,15,"A re-creation of the life of the author’s grandmother in the Southwest, by the author of “The Glass Castle.”",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
LAST NIGHT IN TWISTED RIVER,John Irving,16,"

A loggers’ cook and his son are on the run from the law, for decades.",Random House,http://www.amazon.com/Last-Night-Twisted-River-Novel/dp/1400063841?tag=NYTBS-20
WOLF HALL,Hilary Mantel,17,Thomas More and Thomas Cromwell clash in the court of Henry VIII; winner of the 2009 Man Booker Prize.,Holt,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20
THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,18,A boy learns from his disappointment with his mother’s gift.,Threshold Editions,http://www.amazon.com/The-Christmas-Sweater-Picture-Book/dp/1416995439?tag=NYTBS-20
NINE DRAGONS,Michael Connelly,19,The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.,"Little, Brown",http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,20,"In the second volume of the Millennium trilogy, the Swedish hacker Lisbeth Salander becomes a murder suspect.",Knopf,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20
CROSS FIRE,James Patterson,1,"Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets.","Little, Brown",http://www.amazon.com/I-Alex-Cross-James-Patterson-ebook/dp/B002LZSY46?tag=NYTBS-20
PIRATE LATITUDES,Michael Crichton,2,"In the 17th-century Caribbean, a British pirate attacks a Spanish galleon; this manuscript was found in Crichton’s files after his death in 2008.",Harper/HarperCollins,http://www.amazon.com/Pirate-Latitudes-Novel-Michael-Crichton/dp/0061929379?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,3,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
"UNDER THE DOME, PART 1",Stephen King,4,"When a Maine town is trapped by an invisible force field, a sanctimonious and hypocritical politician takes over.",Scribner,http://www.amazon.com/Under-Dome-Novel-Stephen-King/dp/1476767270?tag=NYTBS-20
BREATHLESS,Dean Koontz,5,Mysterious animals in the Colorado Rockies set off intrigue and suspense.,Bantam,http://www.amazon.com/Breathless-A-Novel-Dean-Koontz-ebook/dp/B002SDRT8S?tag=NYTBS-20
FORD COUNTY,John Grisham,6,Stories set in rural Mississippi.,Doubleday,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20
FIRST LORD’S FURY,Jim Butcher,7,"With their survival at stake, Alerans prepare for a final battle in the sixth book of the Alera fantasy cycle.",Ace,http://www.amazon.com/First-Lords-Fury-Codex-Alera/dp/0441019625?tag=NYTBS-20
THE HELP,Kathryn Stockett,8,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
THE WRECKER,Clive Cussler and Justin Scott,9,"In 1907, a detective tracks a mysterious saboteur all over the West.",Putnam,http://www.amazon.com/The-Wrecker-Isaac-Bell-Adventure/dp/0399155996?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,10,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,11,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
THE GATHERING STORM,Robert Jordan and Brandon Sanderson,12,Book 12 of the Wheel of Time fantasy series.,Tor/Tom Doherty,http://www.amazon.com/Gathering-Storm-Wheel-Time-Book/dp/0765302306?tag=NYTBS-20
THE LACUNA,Barbara Kingsolver,13,"A young American growing up in Mexico becomes friends with becomes friends with Diego Rivera, Frida Kahlo and Leon Trotsky; later, in the United States, he is menaced by ­McCarthyism.",Harper/HarperCollins,http://www.amazon.com/The-Lacuna-A-Novel-P-S/dp/0060852585?tag=NYTBS-20
TRUE BLUE,David Baldacci,14,"

An ex-cop in Washington struggles to clear her name.",Grand Central,http://www.amazon.com/True-Blue-David-Baldacci-ebook/dp/B002SRL3PO?tag=NYTBS-20
